1000023842624978947	l10001	@Judge7560 @Thoiser19 I have Valium I think that�s about as good as were gunna get lol
1000047079576752134	l10002	@_morphiine_ Happy to hear that Dr. Morphine!
1000099636223229952	l10003	@sam_vinograd @AshaRangappa_ @joshscampbell I'd suggest a lactaid and a lipitor with it.  And maybe widen the invite to include a cardiologist? ;)
1000154793606832132	l10004	@DiegoMasca92 I had zero sleep on Tuesday night and then last night was 2 hours. I�ve just took some clonazepam and doubled the dose so it will force me to sleep. I�ll be too tired at the match tomorrow and won�t enjoy it otherwise!
1000379544199626758	l10005	Whenever I vape in public people look at me as if I'm injecting methadone.
1000426011849363458	l10006	@emmzzeerr These tablets make me feel more drunk than what alcohol does ?? morphine in tablet form ?? taking some of this pain away thank god
1000428178836373504	l10007	Now Watching: 1983 War Games. I'm nerding out so much I'll need Valium.
1000494040482222087	l10008	@RhobinHood_ You are on xanax
1000553541189054464	l10009	A client who has just undergone surgery is receiving continuous intravenous (IV) morphine sulfate for pain control. On assessment of the client, what does the nurse check first?
1000569121891811328	l10010	"@Bbaker100 I was once on a statin for ""high cholesterol"", it was Crestor. It almost destroyed me! So much pain, stomach problems, I got so sick! Got mad at my doctor and threw the pills at him and fired him told him he was trying to kill me! I began to learn the deadly dangers of that crap!"
1000906355337654272	l10011	I woke up in the middle of the night to have water but I was so high on morphine that I fell asleep while I was drinking and I just woke up to wet clothes and an empty bottle in my hand. ??
1000916499123630080	l10012	@AnneWheaton @ChuckWendig Welcome to the cult, sister.  Bring Lipitor.
1001037721740218373	l10013	Xanax and desyrel=mutlu bir Hilal
1001060871731339265	l10014	@ProfKausikRay @drpablocorral @rauldsf_santos @skathire Surely, Kosh. The DM issue serves more as a misleading speech for statin denialists. Yesterday at a children's party, a relative of mine w/CAD and very high CV risk features on max doses of Crestor + Repatha aked me exactly about it: He had heard it from another doctor ????
1001191858192764929	l10015	@PeterRMare @realDonaldTrump Would he actually have to stop taking them if he supplements with CoQ10? My family member who became almost crippled stopped taking simvastatin abruptly and started CoQ10 and the pain was gone within a few days. Now he takes rosuvastatin and CoQ10 and no problems.
1001241023274766339	l10016	+UK media morphine #24HoursInPoliceCustody #FreeTommy
1001338801858396161	l10017	@safzoro @MsRachyDoodle I wasn�t allowed it for years. But, the trick was that I can�t take Lyrica
1001355850420703232	l10018	"@michaelwoodnz @nealejones Paula Bennett said ""Any situation where methamphetamine use has been found in social housing is unacceptable."" Will she pay compensation to those people who were evicted?"
1001439305334771719	l10019	"Sponsored by someone completely spotted ""birthday adderall"""
